"37,936,530.26 ",""," 2,764,131 "," 42,000,980 ",""," 37,766,299.32 ",""," 4,234,658.91 ","","","","","","","","",""
"","GGN-NTT-KTFL-PT-01","4500094642","","","KAPARTHI CONSULTANCY SERVICES","","","","","","KCS/24-2025/034","6-Nov-24"," 675,000.00 "," 796,500.00 "," 67,500 "," 729,000 ",""," 719,028 ",""," 9,972 ","Additional PO Required","","","","","","","",""
"","GGN-NTT-KTFL-PT-01","4500088397","","","KAPARTHI CONSULTANCY SERVICES","","","","","","KCS/24-2025/033","6-Nov-24"," 42,534.00 "," 50,190.00 "," 4,253 "," 45,937 ",""," 45,937 ",""," -   ","Paid","","","","","","","",""
"","GGN-NTT-KTFL-PT-01","4500088397","","","KAPARTHI CONSULTANCY SERVICES","","","","","","KCS/24-2025/037","28-Nov-24"," 66,213.00 "," 78,131.00 "," 6,621 "," 71,510 ",""," 71,510 ",""," -   ","Paid","","","","","","","",""
"","GGN-NTT-KTFL-PT-01","4500094640","","","KAPARTHI CONSULTANCY SERVICES","","","","","","KCS/24-2025/039","3-Dec-24"," 140,000.00 "," 165,200.00 "," 14,000 "," 151,200 ",""," 145,476 ",""," 5,724 ","Additional PO Required","","","","","","","",""
"","GGN-NTT-KTFL-PT-01","4500094642","","","KAPARTHI CONSULTANCY SERVICES","","","","","","KCS/24-2025/038","3-Dec-24"," 600,000.00 "," 708,000.00 "," 60,000 "," 648,000 ",""," 647,676 ",""," 324 ","Additional PO Required","","","","","","","",""
"","GGN-NTT-KTFL-PT-01","4500094640","","","KAPARTHI CONSULTANCY SERVICES","","","","","","KCS/24-2025/040","3-Dec-24"," 300,000.00 "," 354,000.00 "," 30,000 "," 324,000 ",""," 307,800 ",""," 16,200 ","Additional PO Required","","","","","","","",""
"","GGN-NTT-KTFL-PT-01","4500088397","","","KAPARTHI CONSULTANCY SERVICES","","","","","","KCS/24-2025/041","15-Dec-24"," 54,258.00 "," 64,024.00 "," 5,426 "," 58,598 ",""," 58,599 ",""," (1)","Paid","","","","","","","",""
"","GGN-NTT-KTFL-PT-01","4500088397","","","KAPARTHI CONSULTANCY SERVICES","","","","","","KCS/24-2025/043","29-Dec-24"," 66,200.00 "," 78,116.00 "," 6,620 "," 71,496 ",""," 71,496 ",""," -   ","Paid","","","","","","","",""
"","GGN-NTT-KTFL-PT-01","4500094642","","","KAPARTHI CONSULTANCY SERVICES","","","","","","KCS/24-2025/044","8-Jan-25"," 625,000.00 "," 737,500.00 "," 62,500 "," 675,000 ",""," 675,000 ",""," -   ","Paid","","","","","","","",""
"","GGN-NTT-KTFL-PT-01","4500094640","","","KAPARTHI CONSULTANCY SERVICES","","","","","","KCS/24-2025/046","8-Jan-25"," 150,000.00 "," 177,000.00 "," 15,000 "," 162,000 ",""," 162,000 ",""," -   ","Paid","","","","","","","",""
"","GGN-NTT-KTFL-PT-01","4500094640","","","KAPARTHI CONSULTANCY SERVICES","","","","","","KCS/24-2025/045","8-Jan-25"," 140,000.00 "," 165,200.00 "," 14,000 "," 151,200 ",""," 151,200 ",""," -   ","Paid","","","","","","","",""
"","GGN-NTT-KTFL-PT-01","4500098208","","","KAPARTHI CONSULTANCY SERVICES","","","","","","KCS/24-2025/047","8-Jan-25"," 68,254.00 "," 80,540.00 "," 6,825 "," 73,715 ",""," 73,714 ",""," 1 ","Paid","","","","","","","",""
"","GGN-NTT-KTFL-PT-01","4500098208","","","KAPARTHI CONSULTANCY SERVICES","","","","","","KCS/24-2025/048","30-Jan-25"," 113,175.00 "," 133,547.00 "," 11,318 "," 122,230 ",""," 122,229 ",""," 1 ","Paid","","","","","","","",""
"","GGN-NTT-KTFL-PT-01","4500096735","","","KAPARTHI CONSULTANCY SERVICES","","","","","","KCS/24-2025/051","2-Feb-25"," 150,000.00 "," 177,000.00 "," 15,000 "," 162,000 ",""," 123,043 ",""," 38,957 ","Additional PO Required","","","","","","","",""
"","GGN-NTT-KTFL-PT-01","4500096736","","","KAPARTHI CONSULTANCY SERVICES","","","","","","KCS/24-2025/049","2-Feb-25"," 625,000.00 "," 737,500.00 "," 62,500 "," 675,000 ",""," 526,886 ",""," 148,114 ","Additional PO Required","","","","","","","",""
"","GGN-NTT-KTFL-PT-01","4500096735","","","KAPARTHI CONSULTANCY SERVICES","","","","","","KCS/24-2025/050","4-Feb-25"," 140,000.00 "," 165,200.00 "," 14,000 "," 151,200 ",""," 116,370 ",""," 34,830 ","Additional PO Required","","","","","","","",""
"","GGN-NTT-KTFL-PT-01","4500098208","","","KAPARTHI CONSULTANCY SERVICES","","","","","","KCS/24-2025/052","23-Feb-25"," 127,102.00 "," 149,980.00 "," 12,710 "," 137,270 ",""," 137,270 ",""," -   ","Paid","","","","","","","",""
"","GGN-NTT-KTFL-PT-01","4500096736","","","KAPARTHI CONSULTANCY SERVICES","","","","","","KCS/24-2025/053","2-Mar-25"," 625,000.00 "," 737,500.00 "," 62,500 "," 675,000 ",""," 658,800 ",""," 16,200 ","Additional PO Required","","","","","","","",""
"","GGN-NTT-KTFL-PT-01","4500096735","","","KAPARTHI CONSULTANCY SERVICES","","","","","","KCS/24-2025/055","2-Mar-25"," 150,000.00 "," 177,000.00 "," 15,000 "," 162,000 ",""," 153,900 ",""," 8,100 ","Additional PO Required","","","","","","","",""
"","GGN-NTT-KTFL-PT-01","4500096735","","","KAPARTHI CONSULTANCY SERVICES","","","","","","KCS/24-2025/054","2-Mar-25"," 140,000.00 "," 165,200.00 "," 14,000 "," 151,200 ",""," 145,530 ",""," 5,670 ","Additional PO Required","","","","","","","",""
"","GGN-NTT-KTFL-PT-01","4500098208","","","KAPARTHI CONSULTANCY SERVICES","","","","","","KCS/24-2025/056","2-Mar-25"," 118,462.00 "," 139,785.00 "," 11,846 "," 127,939 ",""," -   ",""," 127,939 ","CN Issue for the same","","","","","","","",""
"","GGN-NTT-KTFL-PT-01","4500098208","","","KAPARTHI CONSULTANCY SERVICES","","","","","","KCS/24-2025/057","5-Mar-25"," 79,301.00 "," 93,575.00 "," 7,930 "," 85,645 ",""," -   ",""," 85,645 ","CN Issue for the same","","","","","","","",""
"","GGN-NTT-KTFL-PT-01","4500098208","","","KAPARTHI CONSULTANCY SERVICES","","","","","","KCS/24-2025/058","15-Mar-25"," 51,549.00 "," 60,828.00 "," 5,155 "," 55,673 ",""," 55,673 ",""," -   ","Paid","","","","","","","",""
"","GGN-NTT-KTFL-PT-01","4500098208","","","KAPARTHI CONSULTANCY SERVICES","","","","","","KCS/24-2025/059","29-Mar-25"," 55,507.00 "," 65,498.00 "," 5,551 "," 59,947 ",""," 59,948 ",""," (1)","Paid","","","","","","","",""
"","GGN-NTT-KTFL-PT-01","Against Credit Note","","","KAPARTHI CONSULTANCY SERVICES","","","","","","Credit Note -1","31-Mar-25"," (1,096,429.00)"," (1,293,786.00)"," (109,643)"," (1,184,143)",""," -   ",""," (1,184,143)","CN Issue for the same","","","","","","","",""
"","GGN-NTT-KTFL-PT-01","PO not received","","","KAPARTHI CONSULTANCY SERVICES","","","","","","KCS/25-2026/004","9-Apr-25"," 50,318.00 "," 59,375.00 "," 5,032 "," 54,343 ",""," -   ",""," 54,343 ","PO not received","","","","","","","",""
"","GGN-NTT-KTFL-PT-01","4500096735","","","KAPARTHI CONSULTANCY SERVICES","","","","","","KCS/25-2026/003","9-Apr-25"," 150,000.00 "," 177,000.00 "," 15,000 "," 162,000 ",""," 153,900 ",""," 8,100 ","Additional PO Required","","","","","","","",""
"","GGN-NTT-KTFL-PT-01","4500096735","","","KAPARTHI CONSULTANCY SERVICES","","","","","","KCS/25-2026/002","9-Apr-25"," 140,000.00 "," 165,200.00 "," 14,000 "," 151,200 ",""," 145,530 ",""," 5,670 ","Additional PO Required","","","","","","","",""
"","GGN-NTT-KTFL-PT-01","4500096736","","","KAPARTHI CONSULTANCY SERVICES","","","","","","KCS/25-2026/001","9-Apr-25"," 625,000.00 "," 737,500.00 "," 62,500 "," 675,000 ",""," 509,046 ",""," 165,954 ","Additional PO Required","","","","","","","",""
"","GGN-NTT-KTFL-PT-01","Against Credit Note","","","KAPARTHI CONSULTANCY SERVICES","","","","","","KCS/25-2026/005","15-Apr-25"," 1,096,429.00 "," 1,293,786.00 "," 109,643 "," 1,184,143 ",""," -   ",""," 1,184,143 ","CN Issue for the same","","","","","","","",""
"","GGN-NTT-KTFL-PT-01","4500098208","","","KAPARTHI CONSULTANCY SERVICES","","","","","","KCS/25-2026/006","16-Apr-25"," 40,837.00 "," 48,188.00 "," 4,084 "," 44,104 ",""," 44,104 ",""," -   ","Paid","","","","","","","",""
"","GGN-NTT-KTFL-PT-01","PO not received","","","KAPARTHI CONSULTANCY SERVICES","","","","","","KCS/25-2026/007","28-Apr-25"," 40,769.00 "," 48,107.00 "," 4,077 "," 44,030 ",""," -   ",""," 44,030 ","PO not received","","","","","","","",""
"Saurabh Jamburgekar  Sreedhar Katakam
","GGN-NTT-KTFL-PT-01","4500100823","","","KAPARTHI CONSULTANCY SERVICES","CTPL/PO/24-25/228","13-Aug-25"," 625,000.00 ","","Monthly","KCS/25-2026/008","3-May-25"," 625,000.00 "," 737,500.00 "," 62,500 "," 675,000 ",""," -   ",""," 675,000 ","Payment pending from NTT","","","","","","","",""
"","GGN-NTT-KTFL-PT-01","4500098208","","","KAPARTHI CONSULTANCY SERVICES","","","","","","Credit Note KCS/25-2026/056","18-Jun-25"," (118,462.00)"," (139,785.00)"," (11,846)"," (127,939)",""," -   ",""," (127,939)","","","","","","","","",""
"","GGN-NTT-KTFL-PT-01","4500098208","","","KAPARTHI CONSULTANCY SERVICES","","","","","","KCS/25-2026/011","9-Jul-25"," 120,000.00 "," 141,600.00 "," 12,000 "," 129,600 ",""," -   ",""," 129,600 ","","","","","","","","",""
"","QuessCorp","4500099372","","","Highsky IT Solutions Private Limited","CTPL/PO/25-26/139","15-Jun-25"," 1,299,957.00 ","","Monthly","HSIT/25-26/202","2-Jul-25"," 352,072.00 "," 415,445.00 "," 7,041 "," 408,404 ","30-Jul-25"," 408,404 ","13-Aug-25"," -   ","","","","","","","","",""
"HMSI Resource Deployment- Dotnet - Alok Kumar","GGN-NTT-HMSI-DOTNET-PT-01","4500098672","","","CANTICLE TECHNOLOGIES PRIVATE LIMITED","CTPL/PO/25-26/101","2-Jun-25"," 993,446.00 ","","Monthly","132/2025-2026","2-Jul-25"," 87,657.00 "," 103,435.00 "," 1,753 "," 101,682 ","30-Jul-25"," 101,434 ","6-Aug-25"," 248 ","Payment Sent to Finance 01 Aug 25","","","","","","","",""
"Pay to Vendor - Finder Fee","NTT -PT -Finder Fees","4500092198","","","AUROPRO SOFT SYSTEMS PVT LTD","CTPL/PO/25-26/140","27-06-2025"," 160,000.00 ","","","G90/2025-26","8-Jul-25"," 160,000.00 "," 188,800.00 "," 16,000 "," 172,800 ","6-Nov-24"," 172,800 ","15-Jul-25"," -   ","Invoice to NTT is already raised last year……payment has to be released","","","","","","","",""
"Sun Phrma - Website AMC ","Sun Phrama PT","4500095362","","","CARMATEC IT SOLUTIONS PRIVATE LIMITED","CTPL/PO/24-25/392","23-Jan-25"," 1,014,701.00 ","","Monthly","4341","10-Jul-25"," 74,975.00 "," 88,471.00 "," 1,500 "," 86,972 ","6-Aug-24"," 86,971 ","13-Aug-25"," 1 ","Sent to Finance on 12 Aug 2025","","","","","","","",""
"Panasonic Resource Deploment - Shankar Bhuyan","GGN-NTT-PANASONIC-PT-01","4500095649","","","BCT Consulting Private Limited","CTPL/PO/24-25/400","30-Jan-25"," 1,904,748.00 "," 694,189.00 ","Monthly","210607280029","10-Jul-25"," 137,565.00 "," 162,327.00 "," 13,757 "," 148,571 ","7-Aug-25"," 148,570 ","13-Aug-25"," 1 ","Sent to Finance on 7 Aug 2025","","","","","","","",""
"Panchalal Yadav","QuessCorp","4500099372","","","Highsky IT Solutions Private Limited","CTPL/PO/25-26/139","15-Jun-25"," -   ","","Monthly","HSIT/25-26/217","12-Jul-25"," 189,577.00 "," 223,701.00 "," 3,792 "," 219,909 ","13-Aug-25"," -   ",""," 219,909 ","Payment adjust against (Credit Note-8)","","","","","","","",""
"Krunal Khode (Apr,May&Jun'25)","GGN-NTT-| Abhiyantatech -PT-01","4500100039","","","Abhiyanta India Solution Private Limited","CTPL/PO/25-26/160","17-07-25"," 1,058,334.00 ","","Monthly","25260085","21-Jul-25"," 416,667.00 "," 491,667.00 "," 8,333 "," 483,334 ","Pending as on 30 July","",""," 483,334 ","","","","","","","","",""
"Raptakos Resource Deployment - Mayur Ghule Jul'25","Raptakos PT","4500100053","","","VRATA TECH SOLUTIONS PRIVATE LIMITED","CTPL/PO/25-26/161","17-Jul-25"," 1,006,335.00 ","","Monthly","M/2526/Jul/080","31-Jul-25"," 90,173.00 "," 106,404.00 "," 1,803 "," 104,601 ","Pending","",""," 104,601 ","","","","","","","","",""
"Mounika Nandam","GGN-NTT -PT-Finder fees","4500100034","","","BCT Consulting Private Limited","CTPL/PO/25-26/158","17-Jul-25"," 102,600.00 ",""," One time ","210607280266","29-Jul-25"," 102,600.00 "," 121,068.00 "," 2,052 "," 119,016 ","Pending","",""," 119,016 ","","","","","","","","",""
" Nagothi Sumitranjali","GGN-NTT -PT-Finder fees","4500100033","","","BCT Consulting Private Limited","CTPL/PO/25-26/159","17-Jul-25"," 85,500.00 ",""," One time ","210607280267","29-Jul-25"," 85,500.00 "," 100,890.00 "," 1,710 "," 99,180 ","Pending","",""," 99,180 ","","","","","","","","",""
"ADP Resource Deployment-Ankush Dilip Sangamwar
","Finder Fees – PT","4500100130","","","AUROPRO SOFT SYSTEMS PVT LTD","CTPL/PO/25-26/179","21-07-25"," 80,952.38 ","","","G96/2025-26","22-Jul-25"," 80,952.38 "," 95,524.00 "," 8,095 "," 87,429 ","Pending","",""," 87,429 ","","","","","","","","",""
"Sun Phrma - Website AMS- Ramu Verma","Sun Phrama PT","4500100177","","","ITSHRI SOLUTION LLP","CTPL/PO/25-26/206","30-07-25","1,852,497","","Monthly","2508-01","1-Aug-25"," 205,833.00 "," 242,883.00 "," 4,117 "," 238,766 ","Pending","",""," 238,766 ","","","","","","","","",""
"Krunal Khode (Jul'25)","GGN-NTT-| Abhiyantatech -PT-01","4500100039","","","Abhiyanta India Solution Private Limited","CTPL/PO/25-26/160","17-07-25"," -   ","","Monthly","25260090","1-Aug-25"," 175,000.00 "," 206,500.00 "," 3,500 "," 203,000 ","Pending as on 30 July","",""," 203,000 ","","","","","","","","",""
"HMSI Resource Deployment- Dotnet - Alok Kumar Jul'25","GGN-NTT-HMSI-DOTNET-PT-01","4500098672","","","CANTICLE TECHNOLOGIES PRIVATE LIMITED","CTPL/PO/25-26/101","2-Jun-25"," 993,446.00 ","","Monthly","160/2025-2026","4-Aug-25"," 87,657.00 "," 103,435.00 "," 1,753 "," 101,682 ","Pending","",""," 101,682 ","","","","","","","","",""
"Sun Phrma - Website AMS- Ramu Verma","Sun Phrama PT","4500100177","","","ITSHRI SOLUTION LLP","CTPL/PO/25-26/206","30-07-25","1,852,497","","Monthly","2508-02","1-Aug-25"," 205,833.00 "," 242,883.00 "," 4,117 "," 238,766 ","Pending","",""," 238,766 ","","","","","","","","",""
"Sun Phrma - Website AMS- Ramu Verma","Sun Phrama PT","4500100177","","","ITSHRI SOLUTION LLP","CTPL/PO/25-26/206","30-07-25","1,852,497","","Monthly","2508-03","1-Aug-25"," 205,833.00 "," 242,883.00 "," 4,117 "," 238,766 ","Pending","",""," 238,766 ","","","","","","","","",""
"Panchalal Yadav","QuessCorp","4500099372","","","Highsky IT Solutions Private Limited","CTPL/PO/25-26/139","15-Jun-25"," -   ","","Monthly","HSIT/25-26/234","2-Aug-25"," 189,577.00 "," 223,701.00 "," 3,792 "," 219,909 ","Pending","",""," 219,909 ","","","","","","","","",""
"Sun Phrma - Website AMC ","Sun Phrama PT","4500095362","","","CARMATEC IT SOLUTIONS PRIVATE LIMITED","CTPL/PO/24-25/392","23-Jan-25"," 1,014,701.00 ","","Monthly","4349","1-Aug-25"," 74,975.00 "," 88,471.00 "," 1,500 "," 86,972 ","Pending","",""," 86,972 ","","","","","","","","",""
"","","","","","","","","","","","","",""," -   ","","","","",""," -   ","","","","","","","","",""
"Saurabh Jamburgekar  Sreedhar Katakam
","GGN-NTT-KTFL-PT-01","4500100823","","","KAPARTHI CONSULTANCY SERVICES","CTPL/PO/24-25/229","13-Aug-25"," 625,000.00 ","","Monthly","KCS/25-2026/009","3-May-25"," 625,000.00 "," 737,500.00 "," 62,500 "," 675,000 ",""," -   ",""," 675,000 ","","","","","","","","",""
"Srinivas Rasal & Chandershekhar Oct'24","GGN-NTT-KTFL-PT-01","Duplicate Invoice for Oct'24 For Chandershekhar & Shriniwas","","","Highsky IT Solutions Private Limited","","","","","","HSIT/24-25/314 (CN-8)","13-Aug-25"," (230,201.00)"," (271,637.00)"," -   "," (271,637)"," Recd. ","0.00",""," (271,637)","Credit note against, Dupilcate Invoice submit by vendor (Srinivas Rasal & Chandershekhar Oct'24)","","","","","","","",""
"Panasonic Resource Deploment - Shankar Bhuyan","GGN-NTT-PANASONIC-PT-01","4500095649","","","BCT Consulting Private Limited","CTPL/PO/24-25/400","30-Jan-25"," 1,904,748.00 "," 694,189.00 ","Monthly","210608280016","8-Aug-25"," 153,609.00 "," 181,259.00 "," 3,072 "," 178,186 ","Pending","",""," 178,186 ","","","","","","","","",""
"","","","","","","","","","","","","",""," -   ","","","","",""," -   ","","","","","","","","",""
"","GGN-NTT-KTFL-PT-01","4500098208","","","KAPARTHI CONSULTANCY SERVICES","","","","","","KCS/24-2025/057","2-Jul-25"," (79,301.00)"," (93,575.00)"," (7,930)"," (85,645)",""," -   ",""," (85,645)","Credit Note Recd. From Vendor KCS/24-2025/057 (KCS/25-2026/CN003)","","","","","","","",""
"","GGN-NTT-KTFL-PT-01","4500098208","","","KAPARTHI CONSULTANCY SERVICES","","","","","","KCS/25-2026/010","2-Jul-25"," 72,092.00 "," 85,069.00 "," 7,209 "," 77,859 ",""," -   ",""," 77,859 ","","","","","","","","",""
"","","","","","","","","","","","","",""," -","",""